,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
61,62,Chuunibyou demo Koi ga Shitai!,7.88,,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai,"['Action', 'Comedy', 'Demons', 'Fantasy', 'Historical', 'Shounen', 'Supernatural']",A-1 Pictures,"['Ono, Daisuke', 'Sakamoto, Maaya', 'Fukuyama, Jun', 'Suwabe, Junichi', 'Kaji, Yuki', 'Tamura, Yukari', 'Katou, Emiri', 'Sugiyama, Noriaki', 'Katsu, Anri', 'Park, Romi']",TV,2008
62,63,Noragami Aragoto,8.40,,https://myanimelist.net/anime/30503/Noragami_Aragoto,"['Action', 'Sci-Fi', 'Mystery', 'Super Power']",Bones,"['Irino, Miyu', 'Fukuen, Misato', 'Sawaki, Ikuya', 'Mizuki, Nana', 'Ikeda, Masaru', 'Kawakami, Tomoko', 'Inoue, Kazuhiko', 'Asai, Kiyomi', 'Shindo, Naomi', 'Matsumoto, Yasunori']",TV,2007
63,64,Sakurasou no Pet na Kanojo,8.31,,https://myanimelist.net/anime/13759/Sakurasou_no_Pet_na_Kanojo,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",J.C.Staff,"['Kayano, Ai', 'Nakatsu, Mari', 'Matsuoka, Yoshitsugu', 'Horie, Yui', 'Takamori, Natsumi', 'Sakurai, Takahiro', 'Kawasumi, Ayako', 'Horie, Yui', 'Toyoguchi, Megumi', 'Ogura, Yui']",TV,2012
64,65,Log Horizon,8.08,,https://myanimelist.net/anime/17265/Log_Horizon,"['Action', 'Game', 'Adventure', 'Magic', 'Fantasy']",Satelight,"['Terashima, Takuma', 'Katou, Emiri', 'Maeno, Tomoaki', 'Nakata, Jouji', 'Kakihara, Tetsuya', 'Sakurai, Takahiro', 'Ise, Mariya', 'Kuno, Misaki', 'Inoue, Marina', 'Shimono, Hiro']",TV,2013
65,66,Kuroshitsuji,7.97,,https://myanimelist.net/anime/4898/Kuroshitsuji,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",Bones,"['Kamiya, Hiroshi', 'Kaji, Yuki', 'Uchida, Maaya', 'Sawashiro, Miyuki', 'Fukuyama, Jun', 'Toyosaki, Aki', 'Kugimiya, Rie', 'Okiayu, Ryotaro', 'Ono, Daisuke', 'Ishikawa, Kaito']",TV,2015
66,67,"Darker than Black: Kuro no Keiyakusha  TV (25 eps)  Apr 2007 - Sep 2007  592,172 members",8.20,,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",Manglobe,"['Nakai, Kazuya', 'Sato, Ginpei', 'Kawasumi, Ayako', 'Tamagawa, Sakiko', 'Hidaka, Noriko', 'Ishizuka, Unshou', 'Sugou, Takayuki', 'Afra', 'Wakamoto, Norio', 'Yamadera, Kouichi']",TV,2004
67,68,Charlotte,7.91,,https://myanimelist.net/anime/28999/Charlotte,"['Drama', 'School', 'Super Power']",P.A. Works,"['Sakura, Ayane', 'Uchiyama, Kouki', 'Asakura, Momo', 'Uchida, Maaya', 'Mizushima, Takahiro', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Uchida, Maaya', 'Takemoto, Eiji', 'Hanae, Natsuki']",TV,2015
68,69,Samurai Champloo,8.50,,https://myanimelist.net/anime/205/Samurai_Champloo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']",Manglobe,"['Nakai, Kazuya', 'Sato, Ginpei', 'Kawasumi, Ayako', 'Tamagawa, Sakiko', 'Hidaka, Noriko', 'Ishizuka, Unshou', 'Sugou, Takayuki', 'Afra', 'Wakamoto, Norio', 'Yamadera, Kouichi']",TV,2004
69,70,Dragon Ball Z,8.30,,https://myanimelist.net/anime/813/Dragon_Ball_Z,"['Comedy', 'Mystery', 'Parody', 'School', 'Sci-Fi', 'Slice of Life']",Kyoto Animation,"['Hirano, Aya', 'Sugita, Tomokazu', 'Chihara, Minori', 'Gotou, Yuuko', 'Ono, Daisuke', 'Matsuoka, Yuki', 'Kuwatani, Natsuko', 'Aoki, Sayaka', 'Ogata, Kenichi', 'Yanagisawa, Eiji']",TV,2006
70,71,Hyouka,8.15,,https://myanimelist.net/anime/12189/Hyouka,"['Mystery', 'School', 'Slice of Life']",Kyoto Animation,"['Nakamura, Yuuichi', 'Sato, Satomi', 'Sakaguchi, Daisuke', 'Kayano, Ai', 'Yukana', 'Yukino, Satsuki', 'Ise, Mariya', 'Okiayu, Ryotaro', 'Morikawa, Toshiyuki', 'Hayami, Saori']",TV,2012
71,72,Suzumiya Haruhi no Yuuutsu,7.97,,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu,"['Mystery', 'School', 'Slice of Life']",Kyoto Animation,"['Nakamura, Yuuichi', 'Sato, Satomi', 'Sakaguchi, Daisuke', 'Kayano, Ai', 'Yukana', 'Yukino, Satsuki', 'Ise, Mariya', 'Morikawa, Toshiyuki', 'Okiayu, Ryotaro', 'Hayami, Saori']",TV,2012
72,73,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.10,,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,"['Comedy', 'Harem', 'Romance', 'School', 'Shoujo']",Bones,"['Miyano, Mamoru', 'Sakamoto, Maaya', 'Suzumura, Kenichi', 'Fujita, Yoshinori', 'Matsukaze, Masaya', 'Saitou, Ayaka', 'Kirii, Daisuke', 'Ueda, Yuji', 'Yoshizumi, Kozue', 'Hatano, Wataru']",TV,2006
73,74,Ouran Koukou Host Club,8.32,,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club,"['Comedy', 'Harem', 'Romance', 'School', 'Shoujo']",Bones,"['Miyano, Mamoru', 'Sakamoto, Maaya', 'Suzumura, Kenichi', 'Fujita, Yoshinori', 'Matsukaze, Masaya', 'Saitou, Ayaka', 'Kirii, Daisuke', 'Ueda, Yuji', 'Yoshizumi, Kozue', 'Hatano, Wataru']",TV,2006
74,75,Kaichou wa Maid-sama!,8.19,,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",Brain's Base,"['Eguchi, Takuya', 'Hayami, Saori', 'Touyama, Nao', 'Komatsu, Mikako', 'Yuuki, Aoi', 'Yuzuki, Ryouka', 'Nakahara, Mai', 'Koshimizu, Ami', 'Hiyama, Nobuyuki', 'Kondou, Takashi']",TV,2013
75,76,Overlord,8.08,,https://myanimelist.net/anime/29803/Overlord,"['Slice of Life', 'Supernatural', 'Fantasy']",Kyoto Animation,"['Taneda, Risa', 'KENN', 'Suzuki, Tatsuhisa', 'Chihara, Minori', 'Yamaoka, Yuri', 'Kawasumi, Ayako', 'Shindo, Naomi', 'Toyota, Moe', 'Watanabe, Akeno', 'Konno, Hiromi']",TV,2013
76,77,Kyoukai no Kanata,7.87,,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata,"['Mystery', 'Psychological', 'Thriller']",MAPPA,"['Saitou, Souma', 'Ishikawa, Kaito', 'Sakuya, Shunsuke', 'Tanezaki, Atsumi', 'Han, Megumi', 'Kanuka, Mitsuaki', 'Satake, Uki', 'Aigasa, Keisuke', 'Horii, Chisa', 'Nagao, Aki']",TV,2014
77,78,Mob Psycho 100,8.50,,https://myanimelist.net/anime/32182/Mob_Psycho_100,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']",Shaft,"['Touyama, Nao', 'Hanazawa, Kana', 'Uchiyama, Kouki', 'Komatsu, Mikako', 'Asumi, Kana', 'Kaji, Yuki', 'Uchiyama, Yumi', 'Hiyama, Nobuyuki', 'Ohara, Sayaka', 'Koyasu, Takehito']",TV,2014
78,79,Mononoke Hime,8.79,,https://myanimelist.net/anime/164/Mononoke_Hime,"['Action', 'Adventure', 'Fantasy']",Studio Ghibli,"['Ishida, Yuriko', 'Matsuda, Youji', 'Miwa, Akihiro', 'Tanaka, Yuko', 'Kobayashi, Kaoru', 'Shimamoto, Sumi', 'Morishige, Hisaya']",Movie,1997
79,80,Zankyou no Terror,8.20,,https://myanimelist.net/anime/23283/Zankyou_no_Terror,"['Action', 'Military', 'Supernatural', 'Drama', 'Vampire', 'Shounen']",Wit Studio,"['Ono, Kensho', 'Hayami, Saori', 'Irino, Miyu', 'Nakamura, Yuuichi', 'Okamoto, Nobuhiko', 'Ishikawa, Kaito', 'Iguchi, Yuka', 'Yuuki, Aoi', 'Suzuki, Tatsuhisa', 'Sakurai, Takahiro']",TV,2015
80,81,Nisekoi,7.80,,https://myanimelist.net/anime/18897/Nisekoi,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",Bones,"['Sakurai, Takahiro', 'Itou, Setsuo', 'Ootsuka, Akio', 'Irino, Miyu', 'Matsuoka, Yoshitsugu', 'Seki, Toshihiko', 'Tanezaki, Atsumi', 'Kokuryu, Sachi', 'Hosoya, Yoshimasa', 'Yusa, Kouji']",TV,2016
81,82,Owari no Seraph,7.62,,https://myanimelist.net/anime/26243/Owari_no_Seraph,"['Action', 'Supernatural', 'Magic', 'Fantasy']",ufotable,"['Kawasumi, Ayako', 'Irino, Miyu', 'Seki, Tomokazu', 'Nakata, Jouji', 'Ohara, Sayaka', 'Ueda, Kana', 'Ootsuka, Akio', 'Kadowaki, Mai', 'Noda, Junko', 'Shitaya, Noriko']",TV,2012
82,83,Fate/Zero 2nd Season,8.65,,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,"['Action', 'Adventure', 'Fantasy', 'Game', 'Magic', 'Supernatural']",Madhouse,"['Hino, Satoshi', 'Hara, Yumi', 'Uesaka, Sumire', 'Numakura, Manami', 'Chiba, Shigeru', 'Katou, Masayuki', 'Shindou, Kei', 'Miyano, Mamoru', 'Yuuki, Aoi', 'Seto, Asami']",TV,2015
83,84,Haikyuu!!,8.65,,https://myanimelist.net/anime/20583/Haikyuu,"['Slice of Life', 'Comedy', 'Music', 'School']",Kyoto Animation,"['Hikasa, Yoko', 'Toyosaki, Aki', 'Taketatsu, Ayana', 'Kotobuki, Minako', 'Sato, Satomi', 'Yonezawa, Madoka', 'Sanada, Asami', 'Fujitou, Chika', 'Nagata, Yoriko', 'Itou, Mika']",TV,2009
84,85,K-On!,7.86,,https://myanimelist.net/anime/5680/K-On,"['Action', 'Supernatural', 'Magic', 'Romance', 'Fantasy']",Studio Deen,"['Kawasumi, Ayako', 'Ueda, Kana', 'Suwabe, Junichi', 'Sugiyama, Noriaki', 'Koyama, Rikiya', 'Seki, Tomokazu', 'Kadowaki, Mai', 'Nakata, Jouji', 'Canna, Nobutoshi', 'Shitaya, Noriko']",TV,2006
85,86,Fate/stay night,7.50,,https://myanimelist.net/anime/356/Fate_stay_night,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",Production I.G,"['Murase, Ayumu', 'Ishikawa, Kaito', 'Okamoto, Nobuhiko', 'Namikawa, Daisuke', 'Uchiyama, Kouki', 'Nakamura, Yuuichi', 'Kaji, Yuki', 'Irino, Miyu', 'Hayashi, Yuu', 'Saitou, Souma']",TV,2014
86,87,Howl no Ugoku Shiro,8.73,,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,"['Comedy', 'School', 'Shounen', 'Sports']",Production I.G,"['Ono, Kensho', 'Ono, Yuuki', 'Suwabe, Junichi', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Ono, Daisuke', 'Suzumura, Kenichi', 'Hamada, Kenji', 'Suzuki, Tatsuhisa', 'Orikasa, Fumiko']",TV,2012
87,88,Kuroko no Basket,8.35,,https://myanimelist.net/anime/11771/Kuroko_no_Basket,"['Adventure', 'Drama', 'Fantasy', 'Romance']",Studio Ghibli,"['Kimura, Takuya', 'Baisho, Chieko', 'Gashuin, Tatsuya', 'Oizumi, Yo', 'Kamiki, Ryunosuke', 'Miwa, Akihiro', 'Katou, Haruko']",Movie,2004
88,89,Tonari no Kaibutsu-kun,7.69,,https://myanimelist.net/anime/14227/Tonari_no_Kaibutsu-kun,"['Action', 'Mystery', 'Comedy', 'Historical', 'Supernatural']",Brain's Base,"['Morita, Masakazu', 'Onosaka, Masaya', 'Aoki, Sayaka', 'Fujiwara, Keiji', 'Yoshino, Hiroyuki', 'Sakaguchi, Daisuke', 'Hirohashi, Ryou', 'Koyasu, Takehito', 'Kobayashi, Sanae', 'Kanda, Akemi']",TV,2007
89,90,Baccano!,8.47,,https://myanimelist.net/anime/2251/Baccano,"['Slice of Life', 'Comedy', 'Romance', 'School', 'Shoujo']",Brain's Base,"['Suzuki, Tatsuhisa', 'Tomatsu, Haruka', 'Tanezaki, Atsumi', 'Kitamura, Eri', 'Osaka, Ryota', 'Sawashiro, Miyuki', 'Higuchi, Tomoyuki', 'Hanazawa, Kana', 'Murase, Ayumu', 'Abe, Atsushi']",TV,2012
90,91,Magi: The Labyrinth of Magic,8.20,,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",A-1 Pictures,"['Tomatsu, Haruka', 'Kaji, Yuki', 'Ishihara, Kaori', 'Ono, Daisuke', 'Kimura, Ryouhei', 'Ono, Kensho', 'Sakurai, Takahiro', 'Hanazawa, Kana', 'Nakamura, Yuuichi']",TV,2012
91,92,Black Bullet,7.36,,https://myanimelist.net/anime/20787/Black_Bullet,"['Action', 'Sci-Fi', 'Mystery', 'Seinen']",Kinema Citrus,"['Hidaka, Rina', 'Kaji, Yuki', 'Kurosawa, Tomoyo', 'Horie, Yui', 'Koyama, Rikiya', 'Ogura, Yui', 'Yuuki, Aoi', 'Kaida, Yuuko', 'Han, Megumi', 'Kayano, Ai']",TV,2014
92,93,Btooom!,7.57,,https://myanimelist.net/anime/14345/Btooom,"['Action', 'Sci-Fi', 'Psychological', 'Seinen']",Madhouse,"['Hongo, Kanata', 'Mimori, Suzuko', 'Sawashiro, Miyuki', 'Ookawa, Tooru', 'Nakamura, Yuuichi', 'Narita, Ken', 'Kuroda, Takaya', 'Mamiya, Yasuhiro', 'Hikasa, Yoko', 'Futamata, Issei']",TV,2012
93,94,Gintama,9.00,,https://myanimelist.net/anime/918/Gintama,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Sunrise,"['Sugita, Tomokazu', 'Kugimiya, Rie', 'Sakaguchi, Daisuke', 'Nakai, Kazuya', 'Ishida, Akira', 'Suzumura, Kenichi', 'Tachiki, Fumihiko', 'Kaida, Yuuko', 'Koyasu, Takehito', 'Hino, Satoshi']",TV,2006
94,95,Zero no Tsukaima,7.52,,https://myanimelist.net/anime/1195/Zero_no_Tsukaima,"['Action', 'Adventure', 'Harem', 'Comedy', 'Magic', 'Romance', 'Ecchi', 'Fantasy', 'School']",J.C.Staff,"['Kugimiya, Rie', 'Hino, Satoshi', 'Gotou, Tetsuo', 'Inokuchi, Yuka', 'Kawasumi, Ayako', 'Horie, Yui', 'Inoue, Nanako', 'Sakurai, Takahiro', 'Aono, Takeshi', 'Suzuki, Takuma']",TV,2006
95,96,Byousoku 5 Centimeter,7.92,,https://myanimelist.net/anime/1689/Byousoku_5_Centimeter,"['Drama', 'Romance', 'Slice of Life']",CoMix Wave Films,"['Mizuhashi, Kenji', 'Hanamura, Satomi', 'Onoue, Ayaka', 'Mizuno, Risa', 'Mizuno, Risa']",Movie,2007
96,97,Kono Subarashii Sekai ni Shukufuku wo! 2,8.36,,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2,"['Mystery', 'Dementia', 'Horror', 'Psychological', 'Supernatural', 'Thriller']",Studio Deen,"['Nakahara, Mai', 'Tamura, Yukari', 'Yukino, Satsuki', 'Yukino, Satsuki', 'Hoshi, Soichiro', 'Kanai, Mika', 'Itou, Miki', 'Chafurin', 'Kobayashi, Yuu', 'Ono, Daisuke']",TV,2006
97,98,Black Lagoon,8.12,,https://myanimelist.net/anime/889/Black_Lagoon,"['Action', 'Seinen']",Madhouse,"['Toyoguchi, Megumi', 'Namikawa, Daisuke', 'Isobe, Tsutomu', 'Hirata, Hiroaki', 'Koyama, Mami', 'Tomizawa, Michie', 'Morikawa, Toshiyuki', 'Karasawa, Jun', 'Sasaki, Youko', 'Oomori, Akimasa']",TV,2006
98,99,Dragon Ball,8.14,,https://myanimelist.net/anime/223/Dragon_Ball,"['Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']",Toei Animation,"['Nozawa, Masako', 'Tsuru, Hiromi', 'Tanaka, Mayumi', 'Yanami, Jouji', 'Furuya, Toru', 'Tsuru, Hiromi', 'Suzuoki, Hirotaka', 'Koyama, Mami', 'Nishio, Toku', 'Koyama, Mami']",TV,1986
99,100,Boku no Hero Academia 3rd Season,8.71,,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season,"['Adventure', 'Fantasy', 'Historical', 'Romance']",Imagin,"['Koshimizu, Ami', 'Fukuyama, Jun', 'Nakahara, Mai', 'Nazuka, Kaori', 'Ootsuka, Houchuu', 'Namikawa, Daisuke', 'Horiuchi, Kenyuu', 'Hanawa, Eiji', 'Gouda, Hozumi', 'Tsuji, Shinpachi']",TV,2008
100,101,Higurashi no Naku Koro ni,8.08,,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni,"['Ecchi', 'Slice of Life', 'Comedy', 'Harem', 'Romance', 'School']",AIC Build,"['Itou, Kanae', 'Inoue, Marina', 'Kimura, Ryouhei', 'Hanazawa, Kana', 'Fukuen, Misato', 'Iguchi, Yuka', 'Yamamoto, Nozomi', 'Okiayu, Ryotaro', 'Yuzuki, Ryouka', 'Yahagi, Sayuri']",TV,2011
101,102,Mahouka Koukou no Rettousei,7.73,,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei,"['Action', 'Sci-Fi', 'Supernatural', 'Magic', 'Romance', 'School']",Madhouse,"['Nakamura, Yuuichi', 'Hayami, Saori', 'Hanazawa, Kana', 'Uchiyama, Yumi', 'Tatsumi, Yuiko', 'Matsuoka, Yoshitsugu', 'Sato, Satomi', 'Amamiya, Sora', 'Inoue, Marina', 'Tamaru, Atsushi']",TV,2014
102,103,Ookami to Koushinryou,8.33,,https://myanimelist.net/anime/2966/Ookami_to_Koushinryou,"['Adventure', 'Comedy', 'Parody', 'Supernatural', 'Magic', 'Fantasy']",Studio Deen,"['Takahashi, Rie', 'Fukushima, Jun', 'Amamiya, Sora', 'Kayano, Ai', 'Horie, Yui', 'Toyosaki, Aki', 'Suwa, Ayaka', 'Nishida, Masakazu', 'Suwa, Ayaka', 'Hara, Sayuri']",TV,2017
103,104,Boku wa Tomodachi ga Sukunai,7.44,,https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai,"['Comedy', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']",AIC Plus+,"['Inoue, Marina', 'Nomizu, Iori', 'Togashi, Misuzu', 'Taketatsu, Ayana', 'Shimazaki, Nobunaga', 'Sanada, Asami', 'Endou, Aya', 'Misato', 'Tsukimiya, Midori', 'Koyasu, Takehito']",TV,2013
104,105,Date A Live,7.45,,https://myanimelist.net/anime/15583/Date_A_Live,"['Action', 'Game', 'Sci-Fi', 'Romance', 'School']",Sunrise,"['Misawa, Sachika', 'Kaji, Yuki', 'Toyosaki, Aki', 'Asanuma, Shintaro', 'Hidaka, Rina', 'Endou, Aya', 'Suzumura, Kenichi', 'Kawasumi, Ayako', 'Kobayashi, Sanae', 'Shingaki, Tarusuke']",TV,2012
105,106,Hellsing Ultimate,8.51,,https://myanimelist.net/anime/777/Hellsing_Ultimate,"['Action', 'Military', 'Horror', 'Supernatural', 'Vampire', 'Seinen']",Satelight,"['Nakata, Jouji', 'Orikasa, Fumiko', 'Mizuhashi, Kaori', 'Wakamoto, Norio', 'Park, Romi', 'Hirata, Hiroaki', 'Tobita, Nobuo', 'Shiraishi, Ryoko', 'Sakamoto, Maaya']",OVA,2006
106,107,Fate/stay night: Unlimited Blade Works,8.32,,https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works,"['Action', 'Fantasy', 'Magic', 'Supernatural']",ufotable,"['Kawasumi, Ayako', 'Ueda, Kana', 'Suwabe, Junichi', 'Sugiyama, Noriaki', 'Koyama, Rikiya', 'Seki, Tomokazu', 'Kadowaki, Mai', 'Nakata, Jouji', 'Canna, Nobutoshi', 'Shitaya, Noriko']",TV,2014
107,108,Accel World,7.50,,https://myanimelist.net/anime/11759/Accel_World,"['Mystery', 'Psychological', 'School']",Lerche,"['Hikasa, Yoko', 'Ooyama, Nobuyo', 'Ogata, Megumi', 'Toyoguchi, Megumi', 'Shiina, Hekiru', 'Sawashiro, Miyuki', 'Miyata, Kouki', 'Ishida, Akira', 'Toriumi, Kousuke', 'Saito, Chiwa']",TV,2013
108,109,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.46,,https://myanimelist.net/anime/16592/Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation,"['Comedy', 'Romance', 'School']",Doga Kobo,"['Okamoto, Nobuhiko', 'Ozawa, Ari', 'Sawashiro, Miyuki', 'Nakamura, Yuuichi', 'Nakahara, Mai', 'Ono, Yuuki', 'Kimura, Ryouhei', 'Hino, Satoshi', 'Kawasumi, Ayako', 'Miyano, Mamoru']",TV,2014
109,110,Gekkan Shoujo Nozaki-kun,8.13,,https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Demons', 'Shounen']",TMS Entertainment,"['Kobayashi, Sanae', 'Suzumura, Kenichi', 'Sakurai, Takahiro', 'Itou, Shizuka', 'Morikawa, Toshiyuki', 'Shimizu, Ai', 'Touchi, Hiroki', 'Konishi, Katsuyuki', 'Iwata, Mitsuo', 'Takiguchi, Junpei']",TV,2006
110,111,Toaru Majutsu no Index,7.61,,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index,"['Slice of Life', 'Drama', 'Romance', 'School', 'Shoujo']",Production I.G,"['Noto, Mamiko', 'Namikawa, Daisuke', 'Nakamura, Yuuichi', 'Sanpei, Yuuko', 'Sawashiro, Miyuki', 'Ono, Yuuki', 'Hirano, Aya', 'Yamanaka, Masahiro', 'Hatano, Wataru']",TV,2009
111,112,D.Gray-man,8.14,,https://myanimelist.net/anime/1482/DGray-man,"['Slice of Life', 'Comedy']",AIC Build,"['Taketatsu, Ayana', 'Nakamura, Yuuichi', 'Hanazawa, Kana', 'Hayami, Saori', 'Sato, Satomi', 'Nabatame, Hitomi', 'Tamura, Yukari', 'Tamura, Yukari', 'Kashii, Shouto', 'Kuno, Misaki']",TV,2010
112,113,Kimi ni Todoke,8.12,,https://myanimelist.net/anime/6045/Kimi_ni_Todoke,"['Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama']",A-1 Pictures,"['Endou, Aya', 'Toudou, Mai', 'Kaji, Yuki', 'Hanazawa, Kana', 'Kudou, Haruka', 'Namikawa, Daisuke', 'Hirata, Hiroaki', 'Sakakibara, Yoshiko', 'Hoshino, Takanori', 'Yajima, Akiko']",TV,2012
113,114,Shinsekai yori,8.46,,https://myanimelist.net/anime/13125/Shinsekai_yori,"['Sci-Fi', 'Adventure', 'Drama', 'Romance']",Madhouse,"['Naka, Riisa', 'Ishida, Takuya', 'Itakura, Mitsutaka', 'Hara, Sachie', 'Sekido, Yuki', 'Matsuda, Youji', 'Tanimura, Mitsuki', 'Tachiki, Fumihiko', 'Kakiuchi, Ayami']",Movie,2006
114,115,Toki wo Kakeru Shoujo,8.33,,https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo,"['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Dementia', 'Psychological', 'Mecha']",Gainax,"['Shintani, Mayumi', 'Kasagi, Izumi', 'Mizuki, Jun', 'Itou, Mika', 'Ohkura, Kouji', 'Chiba, Chiemi', 'Matsuo, Suzuki', 'Anno, Hideaki']",OVA,2000
115,116,Ore no Imouto ga Konnani Kawaii Wake ga Nai,7.31,,https://myanimelist.net/anime/8769/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai,"['Adventure', 'Comedy', 'Supernatural']",Studio Ghibli,"['Takagi, Hitoshi', 'Sakamoto, Chika', 'Hidaka, Noriko', 'Takagi, Hitoshi', 'Itoi, Shigesato', 'Amagasa, Toshiyuki', 'Kitabayashi, Tanie', 'Shimamoto, Sumi']",Movie,1988
116,117,Shokugeki no Souma: Ni no Sara,8.44,,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",Artland,"['Nakano, Yuto', 'Tsuzurahara, Miyu', 'Doi, Mika', 'Ueda, Yuji', 'Doi, Mika', 'Oka, Akiko', 'Honjou, Yuutaro', 'Maeda, Takeshi', 'Sanpei, Yuuko', 'Sakamoto, Maaya']",TV,2005
117,118,Fairy Tail (2014),8.09,,https://myanimelist.net/anime/22043/Fairy_Tail_2014,"['Action', 'Magic', 'Sci-Fi', 'Super Power']",J.C.Staff,"['Abe, Atsushi', 'Iguchi, Yuka', 'Satou, Rina', 'Okamoto, Nobuhiko', 'Arai, Satomi', 'Hidaka, Rina', 'Sasaki, Nozomi', 'Itou, Shizuka', 'Katsu, Anri', 'Taniyama, Kishou']",TV,2008
118,119,FLCL,8.07,,https://myanimelist.net/anime/227/FLCL,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",A-1 Pictures,"['Kakihara, Tetsuya', 'Ohara, Sayaka', 'Nakamura, Yuuichi', 'Hirano, Aya', 'Kugimiya, Rie', 'Sato, Satomi', 'Horie, Yui', 'Nakahara, Mai', 'Konishi, Katsuyuki', 'Namikawa, Daisuke']",TV,2014
119,120,Tonari no Totoro,8.44,,https://myanimelist.net/anime/523/Tonari_no_Totoro,"['Ecchi', 'School', 'Shounen']",J.C.Staff,"['Matsuoka, Yoshitsugu', 'Taneda, Risa', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Okamoto, Nobuhiko', 'Sakurai, Takahiro', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki', 'Suwabe, Junichi']",TV,2016
120,121,ReLIFE,8.13,,https://myanimelist.net/anime/30015/ReLIFE,"['Slice of Life', 'Romance', 'School']",TMS Entertainment,"['Kayano, Ai', 'Ono, Kensho', 'Ueda, Reina', 'Tomatsu, Haruka', 'Uchida, Yuuma', 'Kimura, Ryouhei', 'Akaneya, Himika', 'Sugiyama, Noriaki', 'Shiraishi, Ryoko', 'Sawashiro, Miyuki']",TV,2016
121,122,Mushishi,8.73,,https://myanimelist.net/anime/457/Mushishi,"['Action', 'Harem', 'Comedy', 'Demons', 'Romance', 'Ecchi', 'School']",TNK,"['Hikasa, Yoko', 'Kaji, Yuki', 'Itou, Shizuka', 'Taketatsu, Ayana', 'Taneda, Risa', 'Asakura, Azumi', 'Uchida, Maaya', 'Nojima, Kenji', 'Sakura, Ayane', 'Koyama, Rikiya']",TV,2013
122,123,Ansatsu Kyoushitsu 2nd Season,8.64,,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,"['Comedy', 'Drama', 'Romance']",J.C.Staff,"['Horie, Yui', 'Furukawa, Makoto', 'Kayano, Ai', 'Ishikawa, Kaito', 'Sato, Satomi', 'Hikami, Takahiro', 'Kido, Ibuki', 'Kondou, Takayuki', 'Gotou, Saori', 'Honda, Takako']",TV,2013
